TOPIC,SUBTOPIC,SUBTOPIC_ID,TAXONOMY,TAXONOMY_ID,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,NESTING_LABEL,NESTING_LABEL_ID,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,TIME_PERIOD_ID,ESTIMATE,STANDARD_ERROR,ESTIMATE_LCI,ESTIMATE_UCI,FLAG,FOOTNOTE_ID_LIST
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,,,"Percent of population, crude",1,2022,,0.7,,0.5,1,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,,,"Percent of population, crude",1,2023,,0.8,,0.6,1.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,35-49 years,3,3,,,"Percent of population, crude",1,2024,,0.7,,0.5,0.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,,,"Percent of population, crude",1,2019,,1.9,,1.6,2.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,,,"Percent of population, crude",1,2020,,1.7,,1.4,2,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,,,"Percent of population, crude",1,2021,,1.8,,1.5,2.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,,,"Percent of population, crude",1,2022,,1.7,,1.3,2,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,,,"Percent of population, crude",1,2023,,2,,1.7,2.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,50-64 years,4,4,,,"Percent of population, crude",1,2024,,1.7,,1.4,2.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,,,"Percent of population, crude",1,2019,,4.4,,3.9,4.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,,,"Percent of population, crude",1,2020,,3.9,,3.5,4.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,,,"Percent of population, crude",1,2021,,3.7,,3.2,4.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,,,"Percent of population, crude",1,2022,,4.5,,4,5.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,,,"Percent of population, crude",1,2023,,3.8,,3.3,4.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 65 years and older,2,2,65 years and older,5,5,,,"Percent of population, crude",1,2024,,4.1,,3.6,4.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,18-44 years,6,6,,,"Percent of population, crude",1,2019,,0.5,,0.3,0.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,18-44 years,6,6,,,"Percent of population, crude",1,2020,,0.3,,0.2,0.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,18-44 years,6,6,,,"Percent of population, crude",1,2021,,0.4,,0.3,0.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,18-44 years,6,6,,,"Percent of population, crude",1,2022,,0.4,,0.2,0.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,18-44 years,6,6,,,"Percent of population, crude",1,2023,,0.4,,0.3,0.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,18-44 years,6,6,,,"Percent of population, crude",1,2024,,0.4,,0.3,0.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,45-64 years,7,7,,,"Percent of population, crude",1,2019,,1.7,,1.4,2,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,45-64 years,7,7,,,"Percent of population, crude",1,2020,,1.5,,1.2,1.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,45-64 years,7,7,,,"Percent of population, crude",1,2021,,1.6,,1.4,2,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,45-64 years,7,7,,,"Percent of population, crude",1,2022,,1.5,,1.2,1.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,45-64 years,7,7,,,"Percent of population, crude",1,2023,,1.8,,1.5,2.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,45-64 years,7,7,,,"Percent of population, crude",1,2024,,1.5,,1.2,1.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,65-74 years,8,8,,,"Percent of population, crude",1,2019,,3.4,,2.9,4,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,65-74 years,8,8,,,"Percent of population, crude",1,2020,,3.1,,2.6,3.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,65-74 years,8,8,,,"Percent of population, crude",1,2021,,2.9,,2.4,3.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,65-74 years,8,8,,,"Percent of population, crude",1,2022,,4.3,,3.5,5.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,65-74 years,8,8,,,"Percent of population, crude",1,2023,,3.2,,2.7,3.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,65-74 years,8,8,,,"Percent of population, crude",1,2024,,3.2,,2.7,3.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,75 years and older,9,9,,,"Percent of population, crude",1,2019,,5.7,,4.8,6.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,75 years and older,9,9,,,"Percent of population, crude",1,2020,,5.1,,4.4,6,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,75 years and older,9,9,,,"Percent of population, crude",1,2021,,4.8,,4,5.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,75 years and older,9,9,,,"Percent of population, crude",1,2022,,4.9,,4.1,5.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,75 years and older,9,9,,,"Percent of population, crude",1,2023,,4.5,,3.8,5.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Age groups with 75 years and older,3,3,75 years and older,9,9,,,"Percent of population, crude",1,2024,,5.2,,4.5,6.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Disability status,4,4,With disability,10,10,,,"Percent of population, crude",1,2019,,6.4,,5.4,7.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Disability status,4,4,With disability,10,10,,,"Percent of population, crude",1,2020,,5.7,,4.8,6.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Disability status,4,4,With disability,10,10,,,"Percent of population, crude",1,2021,,6.2,,5.2,7.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Disability status,4,4,With disability,10,10,,,"Percent of population, crude",1,2022,,6.3,,5.3,7.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Disability status,4,4,With disability,10,10,,,"Percent of population, crude",1,2023,,5.7,,4.8,6.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Disability status,4,4,With disability,10,10,,,"Percent of population, crude",1,2024,,5.7,,4.8,6.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Disability status,4,4,Without disability,11,11,,,"Percent of population, crude",1,2019,,1.2,,1.1,1.4,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Disability status,4,4,Without disability,11,11,,,"Percent of population, crude",1,2020,,1,,0.9,1.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Disability status,4,4,Without disability,11,11,,,"Percent of population, crude",1,2021,,1.1,,0.9,1.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Disability status,4,4,Without disability,11,11,,,"Percent of population, crude",1,2022,,1.2,,1,1.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Disability status,4,4,Without disability,11,11,,,"Percent of population, crude",1,2023,,1.2,,1,1.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Disability status,4,4,Without disability,11,11,,,"Percent of population, crude",1,2024,,1.1,,1,1.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA13,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Functioning difficulties status,5,5,With functioning difficulties,12,12,,,"Percent of population, crude",1,2019,,3.2,,2.9,3.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Functioning difficulties status,5,5,With functioning difficulties,12,12,,,"Percent of population, crude",1,2020,,2.7,,2.4,3.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Functioning difficulties status,5,5,With functioning difficulties,12,12,,,"Percent of population, crude",1,2021,,2.8,,2.5,3.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Functioning difficulties status,5,5,With functioning difficulties,12,12,,,"Percent of population, crude",1,2022,,3.2,,2.8,3.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Functioning difficulties status,5,5,With functioning difficulties,12,12,,,"Percent of population, crude",1,2023,,2.9,,2.6,3.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Functioning difficulties status,5,5,With functioning difficulties,12,12,,,"Percent of population, crude",1,2024,,2.8,,2.5,3.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Functioning difficulties status,5,5,Without functioning difficulties,13,13,,,"Percent of population, crude",1,2019,,0.6,,0.5,0.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Functioning difficulties status,5,5,Without functioning difficulties,13,13,,,"Percent of population, crude",1,2020,,0.5,,0.4,0.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Functioning difficulties status,5,5,Without functioning difficulties,13,13,,,"Percent of population, crude",1,2021,,0.5,,0.4,0.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Functioning difficulties status,5,5,Without functioning difficulties,13,13,,,"Percent of population, crude",1,2022,,0.4,,0.3,0.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Functioning difficulties status,5,5,Without functioning difficulties,13,13,,,"Percent of population, crude",1,2023,,0.5,,0.4,0.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Functioning difficulties status,5,5,Without functioning difficulties,13,13,,,"Percent of population, crude",1,2024,,0.6,,0.4,0.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA73,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Married,14,14,,,"Percent of population, crude",1,2019,,1.7,,1.5,2,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Married,14,14,,,"Percent of population, crude",1,2020,,1.5,,1.3,1.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Married,14,14,,,"Percent of population, crude",1,2021,,1.6,,1.4,1.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Married,14,14,,,"Percent of population, crude",1,2022,,1.8,,1.5,2.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Married,14,14,,,"Percent of population, crude",1,2023,,1.7,,1.4,1.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Married,14,14,,,"Percent of population, crude",1,2024,,1.7,,1.5,2,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Divorced or separated,15,15,,,"Percent of population, crude",1,2019,,2.4,,2,2.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Divorced or separated,15,15,,,"Percent of population, crude",1,2020,,2.2,,1.7,2.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Divorced or separated,15,15,,,"Percent of population, crude",1,2021,,2.3,,1.8,2.8,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Divorced or separated,15,15,,,"Percent of population, crude",1,2022,,2.4,,1.9,3.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Divorced or separated,15,15,,,"Percent of population, crude",1,2023,,3,,2.4,3.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Divorced or separated,15,15,,,"Percent of population, crude",1,2024,,2.4,,1.9,3,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Widowed,16,16,,,"Percent of population, crude",1,2019,,4.7,,3.7,5.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Widowed,16,16,,,"Percent of population, crude",1,2020,,4.6,,3.7,5.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Widowed,16,16,,,"Percent of population, crude",1,2021,,3.3,,2.7,4.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Widowed,16,16,,,"Percent of population, crude",1,2022,,4.2,,3.2,5.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Widowed,16,16,,,"Percent of population, crude",1,2023,,4.1,,3.3,5,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Widowed,16,16,,,"Percent of population, crude",1,2024,,4.2,,3.4,5.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Living with a partner,17,17,,,"Percent of population, crude",1,2019,,1.1,,0.7,1.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Living with a partner,17,17,,,"Percent of population, crude",1,2020,,0.8,,0.4,1.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Living with a partner,17,17,,,"Percent of population, crude",1,2021,,1.1,,0.7,1.7,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
Angina/angina pectoris,,,Cardiovascular diseases,60,Demographic Characteristic,1,Marital status,6,6,Living with a partner,17,17,,,"Percent of population, crude",1,2022,,1,,0.6,1.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA04,FN_NHISA18,SC_NHISA00"
